iter	Passed	Remaining
0	7	7630
1	12	6259
2	16	5562
3	21	5279
4	25	5059
5	29	4859
6	32	4649
7	36	4515
8	40	4447
9	44	4370
10	47	4275
11	50	4197
12	54	4142
13	58	4093
14	61	4065
15	65	4043
16	69	4015
17	73	3995
18	76	3958
19	80	3930
20	83	3911
21	87	3879
22	90	3856
23	94	3839
24	97	3811
25	101	3794
26	104	3775
27	108	3764
28	111	3742
29	115	3730
30	119	3720
31	122	3707
32	126	3698
33	129	3687
34	133	3679
35	136	3664
36	140	3648
37	143	3640
38	147	3630
39	150	3619
40	154	3609
41	157	3598
42	161	3588
43	164	3581
44	168	3571
45	171	3559
46	174	3547
47	178	3539
48	182	3540
49	185	3533
50	189	3534
51	193	3532
52	197	3528
53	200	3518
54	204	3512
55	208	3511
56	211	3502
57	215	3497
58	218	3487
59	222	3482
60	225	3471
61	229	3464
62	232	3456
63	235	3447
64	239	3445
65	243	3439
66	246	3433
67	250	3426
68	253	3426
69	257	3418
70	260	3413
71	264	3409
72	268	3405
73	271	3397
74	275	3392
75	278	3388
76	282	3385
77	285	3378
78	289	3372
79	292	3367
80	296	3361
81	299	3356
82	303	3350
83	306	3345
84	310	3342
85	314	3339
86	317	3334
87	321	3329
88	325	3327
89	328	3323
90	332	3321
91	335	3314
92	339	3310
93	343	3306
94	346	3300
95	350	3297
96	353	3294
97	357	3290
98	361	3285
99	364	3281
100	368	3278
101	371	3273
102	375	3267
103	378	3265
104	382	3262
105	385	3254
106	389	3251
107	393	3247
108	396	3243
109	400	3239
110	403	3233
111	407	3229
112	411	3227
113	414	3223
114	418	3216
115	421	3213
116	425	3208
117	428	3203
118	431	3197
119	435	3194
120	439	3190
121	442	3187
122	446	3184
123	450	3184
124	454	3181
125	458	3180
126	462	3179
127	466	3176
128	470	3173
129	473	3171
130	477	3170
131	481	3168
132	485	3166
133	488	3153
134	491	3150
135	495	3147
136	498	3142
137	502	3140
138	506	3137
139	510	3134
140	513	3130
141	517	3128
142	521	3128
143	526	3129
144	530	3130
145	535	3130
146	539	3129
147	543	3130
148	548	3130
149	552	3132
150	556	3131
151	561	3132
152	565	3132
153	570	3132
154	574	3133
155	578	3131
156	583	3131
157	587	3129
158	591	3129
159	596	3131
160	600	3131
161	605	3134
162	611	3137
163	616	3141
164	621	3143
165	625	3144
166	630	3145
167	635	3145
168	640	3148
169	645	3149
170	649	3148
171	655	3153
172	660	3157
173	666	3162
174	671	3166
175	676	3169
176	682	3174
177	688	3178
178	693	3180
179	698	3181
180	703	3184
181	709	3188
182	715	3192
183	720	3194
184	725	3195
185	730	3195
186	735	3195
187	739	3194
188	744	3193
189	748	3192
190	753	3193
191	758	3194
192	763	3192
193	768	3191
194	772	3190
195	778	3191
196	782	3190
197	787	3189
198	792	3188
199	796	3187
200	801	3185
201	806	3184
202	810	3183
203	815	3181
204	819	3178
205	824	3178
206	829	3177
207	833	3174
208	839	3175
209	843	3172
210	847	3169
211	851	3166
212	856	3165
213	861	3165
214	865	3161
215	870	3158
216	874	3155
217	878	3153
218	883	3151
219	887	3146
220	892	3145
221	896	3143
222	901	3141
223	905	3138
224	910	3135
225	915	3134
226	919	3132
227	924	3129
228	928	3126
229	932	3123
230	937	3119
231	940	3114
232	944	3108
233	948	3104
234	952	3100
235	956	3096
236	960	3091
237	964	3088
238	968	3084
239	972	3079
240	976	3075
241	981	3074
242	986	3071
243	991	3072
244	1000	3083
245	1006	3084
246	1011	3084
247	1016	3082
248	1020	3078
249	1024	3074
250	1029	3071
251	1033	3068
252	1037	3063
253	1041	3057
254	1045	3053
255	1049	3049
256	1053	3045
257	1056	3039
258	1061	3035
259	1064	3030
260	1068	3025
261	1072	3021
262	1076	3017
263	1081	3014
264	1085	3009
265	1089	3005
266	1092	3000
267	1097	2996
268	1101	2992
269	1104	2986
270	1108	2982
271	1112	2977
272	1116	2974
273	1121	2970
274	1125	2966
275	1129	2963
276	1134	2960
277	1138	2956
278	1142	2953
279	1146	2949
280	1151	2945
281	1154	2940
282	1158	2935
283	1162	2932
284	1167	2928
285	1170	2923
286	1175	2919
287	1179	2915
288	1183	2911
289	1188	2910
290	1193	2907
291	1197	2902
292	1201	2899
293	1205	2895
294	1209	2891
295	1214	2888
296	1218	2884
297	1222	2880
298	1227	2877
299	1231	2872
300	1234	2867
301	1239	2864
302	1243	2860
303	1247	2855
304	1251	2851
305	1255	2848
306	1260	2844
307	1264	2840
308	1268	2836
309	1272	2832
310	1276	2828
311	1281	2825
312	1284	2820
313	1289	2817
314	1293	2812
315	1297	2808
316	1302	2806
317	1306	2802
318	1310	2798
319	1314	2794
320	1318	2789
321	1322	2784
322	1326	2780
323	1330	2775
324	1334	2771
325	1338	2766
326	1341	2761
327	1346	2758
328	1350	2755
329	1355	2751
330	1359	2748
331	1363	2744
332	1368	2740
333	1372	2736
334	1376	2732
335	1380	2727
336	1384	2723
337	1388	2719
338	1392	2715
339	1396	2710
340	1400	2706
341	1405	2703
342	1409	2698
343	1413	2694
344	1417	2690
345	1421	2686
346	1425	2682
347	1430	2679
348	1434	2675
349	1438	2671
350	1442	2667
351	1447	2663
352	1451	2659
353	1455	2655
354	1459	2650
355	1462	2646
356	1466	2642
357	1470	2637
358	1474	2633
359	1479	2629
360	1483	2626
361	1487	2621
362	1491	2617
363	1495	2612
364	1499	2608
365	1503	2604
366	1506	2598
367	1510	2594
368	1514	2590
369	1518	2585
370	1522	2581
371	1527	2578
372	1531	2574
373	1536	2571
374	1540	2567
375	1543	2562
376	1548	2558
377	1552	2554
378	1556	2550
379	1560	2545
380	1564	2542
381	1568	2538
382	1573	2534
383	1577	2530
384	1581	2526
385	1585	2522
386	1589	2517
387	1593	2513
388	1597	2509
389	1602	2506
390	1606	2501
391	1610	2497
392	1614	2493
393	1618	2489
394	1622	2485
395	1627	2481
396	1630	2476
397	1635	2473
398	1639	2469
399	1642	2464
400	1646	2459
401	1650	2455
402	1655	2452
403	1659	2448
404	1663	2444
405	1667	2440
406	1672	2436
407	1675	2431
408	1679	2427
409	1684	2423
410	1688	2419
411	1691	2414
412	1696	2410
413	1700	2406
414	1704	2402
415	1708	2399
416	1713	2395
417	1717	2391
418	1721	2386
419	1724	2381
420	1729	2377
421	1732	2373
422	1736	2368
423	1740	2364
424	1745	2361
425	1749	2357
426	1753	2353
427	1758	2349
428	1761	2345
429	1767	2343
430	1772	2339
431	1776	2335
432	1780	2331
433	1784	2326
434	1788	2322
435	1792	2318
436	1796	2314
437	1800	2309
438	1804	2305
439	1808	2301
440	1812	2298
441	1817	2294
442	1821	2290
443	1825	2286
444	1830	2282
445	1834	2278
446	1837	2273
447	1842	2269
448	1846	2265
449	1850	2261
450	1854	2257
451	1858	2252
452	1861	2248
453	1866	2244
454	1870	2240
455	1874	2236
456	1879	2233
457	1883	2229
458	1888	2226
459	1893	2222
460	1897	2219
461	1902	2215
462	1907	2211
463	1911	2207
464	1915	2203
465	1919	2199
466	1923	2195
467	1927	2190
468	1931	2186
469	1936	2183
470	1940	2180
471	1945	2175
472	1949	2172
473	1954	2168
474	1958	2164
475	1962	2159
476	1966	2156
477	1970	2152
478	1974	2147
479	1979	2144
480	1983	2140
481	1987	2135
482	1991	2131
483	1995	2127
484	2000	2123
485	2004	2119
486	2008	2115
487	2011	2110
488	2016	2106
489	2020	2102
